Origin,Management,primary_guilds_unique,primary_guild_counts,primary_guild_percent,secondary_guilds_unique,secondary_guild_counts,secondary_guild_percent
root,Conventional,#N/A,1288,47.4,#N/A,1765,64.9
root,Conventional,plant_pathogen,216,7.9,litter_saprotroph,188,6.9
root,Conventional,soil_saprotroph,209,7.7,animal_decomposer,31,1.1
root,Conventional,animal_parasite,50,1.8,epiphyte,8,0.3
root,Conventional,unspecified_saprotroph,110,4,fungal_decomposer,25,0.9
root,Conventional,mycoparasite,45,1.7,plant_pathogen,33,1.2
root,Conventional,epiphyte,12,0.4,foliar_endophyte,150,5.5
root,Conventional,litter_saprotroph,222,8.2,wood_saprotroph,49,1.8
root,Conventional,wood_saprotroph,136,5,unsepcified_saprotroph,3,0.1
root,Conventional,dung_saprotroph,54,2,root-associated,384,14.1
root,Conventional,lichen_parasite,3,0.1,animal_parasite,17,0.6
root,Conventional,foliar_endophyte,10,0.4,dung_saprotroph,11,0.4
root,Conventional,sooty_mold,1,0,algal_parasite,3,0.1
root,Conventional,ectomycorrhizal,14,0.5,soil_saprotroph,19,0.7
root,Conventional,root_endophyte,12,0.4,rock-inhabiting,7,0.3
root,Conventional,arbuscular_mycorrhizal,298,11,root_endophyte,5,0.2
root,Conventional,lichenized,6,0.2,nematophagous,1,0
root,Conventional,pollen_saprotroph,16,0.6,root_endophyte_dark_septate,11,0.4
root,Conventional,nectar/tap_saprotroph,10,0.4,nectar/tap_saprotroph,2,0.1
root,Conventional,unspecified_pathotroph,3,0.1,insect-associated,1,0
root,Conventional,algal_parasite,3,0.1,unspecified_symbiotroph,3,0.1
root,Conventional,unspecified,1,0,vertebrate-associated,1,0
root,Conventional,moss_symbiont,1,0,ericoid_mycorrhizal,1,0
root,Conventional,NA,NA,NA,unspecified_saprotroph,2,0.1