Origin,Management,primary_guild_unique,primary_guild_counts,primary_guild_percent,secondary_guild_unique,secondary_guild_counts,secondary_guild_percent
root,No-Till,#N/A,1206,46.8,#N/A,1654,64.2
root,No-Till,plant_pathogen,219,8.5,litter_saprotroph,194,7.5
root,No-Till,soil_saprotroph,183,7.1,animal_decomposer,21,0.8
root,No-Till,animal_parasite,38,1.5,epiphyte,5,0.2
root,No-Till,unspecified_saprotroph,92,3.6,fungal_decomposer,23,0.9
root,No-Till,mycoparasite,39,1.5,plant_pathogen,28,1.1
root,No-Till,epiphyte,10,0.4,foliar_endophyte,146,5.7
root,No-Till,litter_saprotroph,229,8.9,wood_saprotroph,53,2.1
root,No-Till,wood_saprotroph,147,5.7,unsepcified_saprotroph,3,0.1
root,No-Till,dung_saprotroph,49,1.9,root-associated,376,14.6
root,No-Till,lichen_parasite,4,0.2,animal_parasite,16,0.6
root,No-Till,foliar_endophyte,9,0.3,algal_parasite,4,0.2
root,No-Till,sooty_mold,1,0,rock-inhabiting,7,0.3
root,No-Till,ectomycorrhizal,10,0.4,root_endophyte,2,0.1
root,No-Till,root_endophyte,9,0.3,nematophagous,1,0
root,No-Till,arbuscular_mycorrhizal,299,11.6,soil_saprotroph,15,0.6
root,No-Till,lichenized,8,0.3,dung_saprotroph,10,0.4
root,No-Till,pollen_saprotroph,12,0.5,root_endophyte_dark_septate,12,0.5
root,No-Till,nectar/tap_saprotroph,10,0.4,nectar/tap_saprotroph,4,0.2
root,No-Till,algal_parasite,4,0.2,insect-associated,1,0
root,No-Till,NA,NA,NA,unspecified_symbiotroph,2,0.1
root,No-Till,NA,NA,NA,ericoid_mycorrhizal,1,0