Origin,Management,Primary_Guild_U,primary_guild_count,primary_guild_percent,Secondary_guild,secondary_guild_counts,secondary_guild_percentages
root,Organic,#N/A,1154,44.9,#N/A,1632,63.5
root,Organic,plant_pathogen,248,9.6,litter_saprotroph,213,8.3
root,Organic,soil_saprotroph,173,6.7,animal_decomposer,22,0.9
root,Organic,animal_parasite,47,1.8,epiphyte,9,0.3
root,Organic,unspecified_saprotroph,103,4,fungal_decomposer,23,0.9
root,Organic,mycoparasite,36,1.4,plant_pathogen,30,1.2
root,Organic,epiphyte,11,0.4,foliar_endophyte,150,5.8
root,Organic,litter_saprotroph,232,9,wood_saprotroph,56,2.2
root,Organic,wood_saprotroph,153,5.9,unsepcified_saprotroph,2,0.1
root,Organic,dung_saprotroph,43,1.7,root-associated,367,14.3
root,Organic,lichen_parasite,5,0.2,algal_parasite,3,0.1
root,Organic,foliar_endophyte,8,0.3,animal_parasite,16,0.6
root,Organic,sooty_mold,1,0,rock-inhabiting,4,0.2
root,Organic,ectomycorrhizal,12,0.5,root_endophyte,2,0.1
root,Organic,root_endophyte,10,0.4,dung_saprotroph,11,0.4
root,Organic,arbuscular_mycorrhizal,299,11.6,nematophagous,1,0
root,Organic,lichenized,7,0.3,soil_saprotroph,15,0.6
root,Organic,pollen_saprotroph,13,0.5,root_endophyte_dark_septate,9,0.3
root,Organic,nectar/tap_saprotroph,10,0.4,insect-associated,1,0
root,Organic,unspecified_pathotroph,2,0.1,unspecified_symbiotroph,2,0.1
root,Organic,algal_parasite,4,0.2,nectar/tap_saprotroph,2,0.1
root,Organic,unspecified,1,0,ericoid_mycorrhizal,1,0
root,Organic,NA,NA,NA,unspecified_saprotroph,1,0