management,primary_guild_unique,primary_guild_counts,primary_guild_percentage,secondary_guild_unique,secondary_guild_counts,secondary_guild_percentage
No-Till,#N/A,1090,37.4,#N/A,1916,65.7
No-Till,soil_saprotroph,135,4.6,animal_decomposer,28,1
No-Till,animal_parasite,42,1.4,litter_saprotroph,358,12.3
No-Till,plant_pathogen,569,19.5,epiphyte,18,0.6
No-Till,unspecified_saprotroph,145,5,fungal_decomposer,40,1.4
No-Till,mycoparasite,53,1.8,plant_pathogen,57,2
No-Till,epiphyte,29,1,foliar_endophyte,282,9.7
No-Till,litter_saprotroph,484,16.6,wood_saprotroph,90,3.1
No-Till,wood_saprotroph,265,9.1,unsepcified_saprotroph,7,0.2
No-Till,sooty_mold,2,0.1,root-associated,45,1.5
No-Till,lichen_parasite,5,0.2,animal_parasite,21,0.7
No-Till,dung_saprotroph,25,0.9,dung_saprotroph,9,0.3
No-Till,foliar_endophyte,18,0.6,algal_parasite,4,0.1
No-Till,ectomycorrhizal,7,0.2,soil_saprotroph,10,0.3
No-Till,root_endophyte,5,0.2,rock-inhabiting,13,0.4
No-Till,arbuscular_mycorrhizal,24,0.8,root_endophyte,3,0.1
No-Till,lichenized,4,0.1,nematophagous,1,0
No-Till,unspecified,2,0.1,coral-associated,1,0
No-Till,pollen_saprotroph,3,0.1,root_endophyte_dark_septate,9,0.3
No-Till,nectar/tap_saprotroph,7,0.2,sooty_mold,1,0
No-Till,unspecified_pathotroph,1,0,ericoid_mycorrhizal,1,0
No-Till,,,,unspecified_saprotroph,1,0