Origin,Management,primary_guild_unique,primary_guild_count,primary_guild_percent,secondary_guild_unique,secondary_guild_count,secondary_guild_percent
soil,Conventional,#N/A,1519,53.7,#N/A,2041,72.2
soil,Conventional,plant_pathogen,214,7.6,litter_saprotroph,179,6.3
soil,Conventional,soil_saprotroph,189,6.7,animal_decomposer,24,0.8
soil,Conventional,animal_parasite,42,1.5,epiphyte,5,0.2
soil,Conventional,unspecified_saprotroph,113,4,fungal_decomposer,22,0.8
soil,Conventional,mycoparasite,40,1.4,plant_pathogen,22,0.8
soil,Conventional,epiphyte,6,0.2,foliar_endophyte,138,4.9
soil,Conventional,litter_saprotroph,179,6.3,wood_saprotroph,48,1.7
soil,Conventional,wood_saprotroph,172,6.1,root-associated,263,9.3
soil,Conventional,sooty_mold,2,0.1,animal_parasite,13,0.5
soil,Conventional,dung_saprotroph,62,2.2,dung_saprotroph,14,0.5
soil,Conventional,lichen_parasite,6,0.2,algal_parasite,8,0.3
soil,Conventional,foliar_endophyte,10,0.4,soil_saprotroph,23,0.8
soil,Conventional,ectomycorrhizal,15,0.5,rock-inhabiting,6,0.2
soil,Conventional,root_endophyte,11,0.4,unsepcified_saprotroph,1,0
soil,Conventional,arbuscular_mycorrhizal,192,6.8,root_endophyte,3,0.1
soil,Conventional,lichenized,9,0.3,nematophagous,1,0
soil,Conventional,pollen_saprotroph,32,1.1,root_endophyte_dark_septate,11,0.4
soil,Conventional,unspecified_pathotroph,5,0.2,insect-associated,1,0
soil,Conventional,nectar/tap_saprotroph,4,0.1,unspecified_symbiotroph,3,0.1
soil,Conventional,algal_parasite,4,0.1,nectar/tap_saprotroph,1,0
soil,Conventional,unspecified,1,0,ericoid_mycorrhizal,1,0
soil,Conventional,moss_symbiont,1,0,NA,NA,NA