Origin,Management,primary_guild_unique,primary_count,primary_percent,secondary_guild_unique,secondary_count,secondary_percent
soil,No-Till,#N/A,1719,52.1,#N/A,2337,70.8
soil,No-Till,plant_pathogen,303,9.2,litter_saprotroph,221,6.7
soil,No-Till,soil_saprotroph,224,6.8,animal_decomposer,29,0.9
soil,No-Till,animal_parasite,51,1.5,epiphyte,10,0.3
soil,No-Till,unspecified_saprotroph,126,3.8,fungal_decomposer,32,1
soil,No-Till,mycoparasite,49,1.5,plant_pathogen,34,1
soil,No-Till,epiphyte,12,0.4,foliar_endophyte,156,4.7
soil,No-Till,litter_saprotroph,228,6.9,wood_saprotroph,58,1.8
soil,No-Till,wood_saprotroph,193,5.8,unsepcified_saprotroph,2,0.1
soil,No-Till,sooty_mold,2,0.1,root-associated,321,9.7
soil,No-Till,dung_saprotroph,61,1.8,animal_parasite,20,0.6
soil,No-Till,lichen_parasite,9,0.3,dung_saprotroph,18,0.5
soil,No-Till,foliar_endophyte,9,0.3,algal_parasite,8,0.2
soil,No-Till,ectomycorrhizal,24,0.7,rock-inhabiting,8,0.2
soil,No-Till,root_endophyte,7,0.2,root_endophyte,7,0.2
soil,No-Till,arbuscular_mycorrhizal,230,7,soil_saprotroph,15,0.5
soil,No-Till,lichenized,10,0.3,root_endophyte_dark_septate,14,0.4
soil,No-Till,nectar/tap_saprotroph,9,0.3,nectar/tap_saprotroph,1,0
soil,No-Till,pollen_saprotroph,28,0.8,insect-associated,1,0
soil,No-Till,unspecified_pathotroph,5,0.2,unspecified_symbiotroph,5,0.2
soil,No-Till,algal_parasite,2,0.1,vertebrate-associated,1,0
soil,No-Till,unspecified,1,0,ericoid_mycorrhizal,2,0.1
soil,No-Till,NA,NA,NA,unspecified_saprotroph,1,0
soil,No-Till,NA,NA,NA,sooty_mold,1,0