,,primary_unique,primary_counts,primary_percent,secondary_unique,secondary_count,secondary_percent
stem,Conventional,#N/A,499,36.1,#N/A,880,63.6
stem,Conventional,soil_saprotroph,75,5.4,animal_decomposer,19,1.4
stem,Conventional,animal_parasite,29,2.1,litter_saprotroph,172,12.4
stem,Conventional,plant_pathogen,223,16.1,epiphyte,5,0.4
stem,Conventional,unspecified_saprotroph,75,5.4,fungal_decomposer,29,2.1
stem,Conventional,mycoparasite,42,3,plant_pathogen,30,2.2
stem,Conventional,epiphyte,13,0.9,foliar_endophyte,153,11.1
stem,Conventional,litter_saprotroph,261,18.9,wood_saprotroph,41,3
stem,Conventional,wood_saprotroph,100,7.2,unsepcified_saprotroph,2,0.1
stem,Conventional,sooty_mold,2,0.1,root-associated,24,1.7
stem,Conventional,lichen_parasite,3,0.2,animal_parasite,12,0.9
stem,Conventional,foliar_endophyte,5,0.4,rock-inhabiting,4,0.3
stem,Conventional,dung_saprotroph,23,1.7,root_endophyte,1,0.1
stem,Conventional,ectomycorrhizal,7,0.5,soil_saprotroph,3,0.2
stem,Conventional,root_endophyte,3,0.2,dung_saprotroph,4,0.3
stem,Conventional,nectar/tap_saprotroph,6,0.4,algal_parasite,1,0.1
stem,Conventional,arbuscular_mycorrhizal,13,0.9,root_endophyte_dark_septate,3,0.2
stem,Conventional,algal_parasite,2,0.1,sooty_mold,1,0.1
stem,Conventional,pollen_saprotroph,1,0.1,NA,NA,NA
stem,Conventional,unspecified_pathotroph,1,0.1,NA,NA,NA
stem,Conventional,lichenized,1,0.1,NA,NA,NA