,,primary_guild_unique,primary_counts,primary_percent,secondary_guild_unique,secondary_count,secondary_percent
stem,No-Till,#N/A,551,37.2,#N/A,952,64.2
stem,No-Till,soil_saprotroph,87,5.9,animal_decomposer,13,0.9
stem,No-Till,animal_parasite,25,1.7,litter_saprotroph,177,11.9
stem,No-Till,plant_pathogen,245,16.5,epiphyte,9,0.6
stem,No-Till,unspecified_saprotroph,71,4.8,fungal_decomposer,24,1.6
stem,No-Till,mycoparasite,34,2.3,plant_pathogen,23,1.6
stem,No-Till,epiphyte,15,1,foliar_endophyte,151,10.2
stem,No-Till,litter_saprotroph,262,17.7,wood_saprotroph,43,2.9
stem,No-Till,wood_saprotroph,100,6.7,unsepcified_saprotroph,2,0.1
stem,No-Till,sooty_mold,2,0.1,root-associated,56,3.8
stem,No-Till,lichen_parasite,3,0.2,animal_parasite,12,0.8
stem,No-Till,dung_saprotroph,18,1.2,algal_parasite,1,0.1
stem,No-Till,ectomycorrhizal,8,0.5,rock-inhabiting,5,0.3
stem,No-Till,lichenized,4,0.3,dung_saprotroph,6,0.4
stem,No-Till,nectar/tap_saprotroph,6,0.4,root_endophyte_dark_septate,5,0.3
stem,No-Till,foliar_endophyte,4,0.3,root_endophyte,1,0.1
stem,No-Till,arbuscular_mycorrhizal,42,2.8,soil_saprotroph,2,0.1
stem,No-Till,pollen_saprotroph,4,0.3,NA,NA,NA
stem,No-Till,root_endophyte,1,0.1,NA,NA,NA